Invoice No,Client,Job Name,Job Number,Invoice Amount (excl VAT),Date Inv. Issued
1503-11,Amco,Ordie Viaduct,1380,4328.25,2015-03-30
1503-12,Amco,UB 310/070 Inveruglas Temporary Crash Deck Check,1363,802.5,2015-03-23
1503-13,Amco,Ardmay Temporary Propping,1382,648.75,2015-03-23
1503-14,Jobs and Business ,Glasgow Youth Employment Scotland,103,1462.5,2015-03-31
1503-15,Amco,"CP5 WHL Culverts, Year 2",1345,18314.16,2015-09-15
1504-01,Wallace McDowall,MMPV Structure Stress Check,1362,1804.0,2015-04-13
1504-02,Hyder,Three Bridges Depot Retaining Walls,1326,440.0,2015-04-06
1504-03,Amco,Baillieston Superstructure Renewal Temp Works,1384,4408.25,2015-04-07
1504-04,Railway Engineering Associates,REA Souterhouse,1299,154.0,2015-04-13
1504-05,Amco,AMCO Minor Works Kings Motherwell,1381D,4295.25,2015-04-14
1504-06,Amco,Straiton Central,1304,90.0,2015-04-22
1504-07,Amco,Carn Dhomhnaill Duibh,1350C,700.0,2015-09-04
1504-08,Amco,CP5 Tyndrum,1350D,1628.5,2015-07-31
1504-09,Amco,Bishopbriggs & Yoker Station,1367,16155.75,2015-07-10
1504-10,Amco,Langhill Temporary Works,1385,1050.5,2015-04-27
1504-11,Amco,Old Mill Road,1364,6565.4,2015-04-27
1504-12,Amco,not used,,,
1504-13,Amco,not used,,,
1504-14,Amco,UB 140/031 Baillieston Superstructure Replacement,1361,582.12,2015-07-10
1505-01,Bam Nuttall,Shotts Route Clearance - Hartwood Hospital,1389,2250.0,2015-05-07
1505-02,Bam Ritchie,Haymarket Tunnel Lining,1387,1572.53,2016-05-07
1505-03,Amco,UB 140/031 Baillieston Superstructure Replacement,1361,4636.88,2015-03-09
1505-04,Central Demolition,Buchanan Galleries,1372,2475.0,2015-05-13
1505-05,Amco,Carrbridge Signal Box,1381A,5505.75,2015-05-20
1505-06,Amco,Wamphray,1385,761.5,2015-06-09
1505-07,Bam Ritchie,Haymarket Tunnel Drip Shield,1392,892.5,2015-05-20
1505-08,Amco,UB 310/162 Bridge of Orchy,1377D,7808.75,2015-05-21
1505-09,Amco,Old Mill Road,1364,3051.5,2015-11-27
1506-01,Amco,FB176/007 Woodlea Lane,1347C,700.0,2015-07-31
1506-02,Amco,FB031/021 Ladywell Repairs and Painting,1347A,1664.0,2016-03-28
1506-04,Amco,CP5 Sanquhar,1377A,1026.25,2015-07-31
1506-05,Nicola Proctor,Nicola Proctor,1494,1077.2,2015-06-10
1506-06,Thomas Matonti,Thomas Matonti,1494,987.2,2015-06-10
1506-07,Krish Inc,Krish/Rujula,1494,1077.2,2015-06-10
1506-08,Amco,CP5 Bridges Gorton,1350B,950.0,2015-07-31
1506-09,Amco,CP5 Bridges Beinn Odhar,1350A,950.0,2015-07-31
1506-12,Bam Nuttall,Knostrop Weir Design Check,1396,415.5,
1506-13,Carillion,Design Services Carmont Bridge,1342,2845.75,2015-06-09
1506-14,Amco,UB 240/128 Sandyford,1360B,1936.25,2015-06-16
1506-15,Aggregate Industries,Glensanda Tunnel Survey ,1390,11788.0,2015-06-26
1506-16,University Of Glasgow,Intern Santander Programme,,500.0,2015-06-18
1506-17,Bam Nuttall,Dales Voe Jetty,1391,5094.75,2015-06-10
1506-18,Story Contracting,Aberdeen Station,1395,3253.5,2015-06-15
1506-19,Bam Nuttall,Murieston Road Scaffold Check,1400,891.0,2015-06-18
1506-20,Bam Nuttall,Shotts Electrification,1399,1025.0,2015-06-18
1506-21,Amco,Tollcross ,1360A,700.0,2015-06-10
1506-22,JBA,Kinclair Viaduct,1393,4575.0,2015-06-24
1506-23,Morgan Sindall,EGIP PAA Bridges,1346,28595.0,2015-06-25
1507-01,University Of Glasgow,Intern Santander Programme,,500.0,2015-07-15
1507-02,AMCO,UB 302/342 Georgemas Bank Creep,1377C,8818.0,2015-07-13
1507-03,Amco,Grantshouse Water,1398,1651.75,2015-07-13
1507-04,Amco,Croy Viaduct,1381F,3505.75,2015-07-13
1507-05,Central Demolition,Buchanan Galleries,1372,5572.5,2015-07-13
1507-06,Amco,Ladywell,1347A,2164.0,2015-07-15
1507-07,Amco,Logans Road Repairs and Painting,1347B,1000.0,2015-07-15
1507-08,Amco,CP5 UB161/232 Pyetscleauch,1377B,7303.0,
1507-09,Amco,CP5 Sanquhar,1377A,11219.0,
1507-10,Geo-Rope,Glensanda Transfer Station,1401,,
1507-11,Amco,St Quivox,1402,4613.75,
1507-12,Span Access,Perfleet Loading Jetty,1416,1250.0,2015-07-30
1507-13,Amco,Queens Viaduct,1415,3750.0,
1507-14,I & H Brown,Kirkstall Forge Infrastructure,1406,1500.0,
1507-15,Carillion,NR Route Parapet Handrails,1328,750.0,
1508-01,University Of Glasgow,Intern Santander Programme,,500.0,
1508-02,Bam Nuttall,Dales Voe Jetty,1391,1754.25,
1508-03,Amco,UB 310/162 Bridge of Orchy,1377D,9345.75,
1508-04,Apollo Cradles,Riverlight Block A,1420,450.0,2015-09-04
1508-05,Amco,Croy Viaduct,1381F,2029.5,
1508-06,Amco,Kinclair Viaduct,1404,4054.0,
1509-01,Scot-Ion,Room 1 rent,1494,1125.0,
1509-02,Legge Steel,Glasgow Recycling Centre,1422,1750.0,
1509-03,Amco,Tollcross,1360A,9500.0,
1509-04,Amco,UB 240/128 Sandyford,1360B,19981.75,
1509-05,Amco,Woodlea Lane,1347C,3000.0,
1509-06,Amco,Oakbank Viaduct Access Cradle,1418,4054.0,
1509-07,Jobs and Business ,Glasgow Youth Employment Scotland,103,539.5,
1509-08,Amco,Carn Dhomhnaill Duibh,1350C,7175.0,
1509-09,Story Contracting,Newburgh Bridge Temp Cable Support Structure,1407,1873.75,
1509-10,Bam Nuttall,Knostrop Weir Bridge Lift - temporary work check,1427,850.0,
1509-11,Amco,Lairthat Temporary Bridge Foundations,1397,2447.75,
1509-12,Bam Nuttall,Murieston Road Crane Outrigger Foundations,1389E,450.0,
1509-13,Railway Engineering Associates,REA Motherwell Road,1299,964.25,
1509-14,Amco,Auchentorlie Burn,1377E,8400.0,
1509-15,Carillion,Penmanshiel Storage Lagoon,1004,404.0,
1509-16,Jobs and Business ,Glasgow Youth Employment Scotland,103,48.75,
1509-17,Amco,Beattock Sidings temporary Works,1351A,2119.25,2015-10-15
1509-19,Krish Inc,Rent room 3,1494,1050.0,
1509-20,Nicola Proctor,Rent Room 2,1494,1050.0,
1509-21,Thomas Matonti,Rent room 4,1494,960.0,
1509-22,Story Contracting,Cameron Toll Retaining Wall Repairs,1429,3055.5,
1509-23,Amco,Wamphray,1431,963.75,
1509-24,Amco,"CP5 WHL Culverts, Year 3",1357,64121.85,
1509-25,Amco,Barassie Temporary Works,1353,532.0,
1509-27,Amco,Baileyfield Road Retaining Wall,1381B,2673.75,
1509-28,Amco,CP5 Tyndrum,1350D,8771.5,
1509-30,Amco,Saltcoats  not used - see invoice 1605-10,1421,,
1509-31,Hyder,Mining Treatment,1409,8790.0,
1509-32,CPMS,Wester Moffat Farm,1405,1067.0,
1509-33,Covanburn Contracts,CP5 Stonehaven,1403,2533.62,
1509-34,Albion Drilling,Hucks Brow,1419,2819.0,
1509-35,Highland Water Works,Ardtalnaig,1424,4697.75,
1509-36,Amco,Old Mill Road,1364,3972.25,
1509-39,Amco,Creag a Chaltuinn Wall Stabilisation,1348,0.0,2015-10-15
1509-40,Amco,Tollcross,1360A,500.0,
1510-01,Geo-Structural,Garden Street Viaduct,1425,2396.0,
1510-02,Amco,Carn Dhomhnaill Duibh,1350C,475.0,
1510-03,Amco,Auchentorlie Burn,1377E,1915.5,
1510-04,Bam Nuttall,Precast Unit Lifting Arrangement Check,1439,600.0,
1510-05,Amco,Bishopbriggs & Yoker Station,1367,5890.26,
1510-06,Story Contracting,Story Temporary Works,1428,1997.0,
1510-07,Amco,Millerfield Place,1381H,2950.25,2015-10-15
1510-08,Amco,Tollcross Burn Temporary Works,1437,412.0,
1510-09,Amco,Cardross Road,1426,424.25,2015-10-15
1510-10,Morgan Sindall,M8 Bishopton Tender,1434,2427.25,
1510-11,George Leslie,Yoker Working Platform,1438,780.0,
1510-12,Neil J Campbell,Merydene Field Survey Balerno,1435,765.5,
1510-13,Amco,Inverroy Bridge,1433,8341.0,
1510-14,Legge Steel,Baxters Place,1436,721.5,
1510-15,Amco,Grantshouse Water,1398,10662.25,
1510-16,Amco,UB 240/128 Sandyford,1360B,808.0,
1510-17,Amco,CP5 Drumsallie,1350E,6450.0,
1510-18,Amco,CP5 Bridges Beinn Odhar,1350A,9375.0,
1510-19,Amco,CP5 Bridges Gorton,1350B,9375.0,
1510-20,Luddon,Milliken Park,1269E,650.0,
1510-21,Amco,Camlachie Syphon Temporary Works,1441,412.0,
1510-22,Amco,Craighouse Gardens,1381G,4412.75,
1510-23,Legge Steel,Forth Port Jetty,1442,600.0,
1511-01,Hyder,MiningTreatment ,1409,2400.0,
1511-02,Railway Engineering Associates,Camlachie Syphon Design Check,1430,3192.0,
1511-03,Amco,Tollcross Burn Temporary Works,1437,838.5,
1511-04,Amco,Busby Site Visit,1381K,269.0,2016-03-28
1511-05,Amco,Grantshouse Water,1398,838.0,
1511-06,Legge Steel,Baxters Place,1436,125.5,
1511-07,Bam Nuttall,Whittagreen,1440,1224.25,
1511-08,Albion Drilling,Caol Isla Distillery,1446,450.0,
1511-09,Albion Drilling,M74 Soil Nailing,1449,455.0,
1511-10,Amco,GP Secondment,1444,1050.0,
1511-11,Bam Ritchie,Haymarket Tunnel,1387,175.02,
1511-12,Amco,CP5 Sanquhar,1377A,2362.75,
1511-13,Amco,CP5 Bridges Beinn Odhar,1350A,1527.5,
1512-01,Scot-ion,,1494,1125.0,
1512-02,Scot-ion,,1494,9.95,
1512-03,Amco,Cardross Road,1426,3051.25,
1512-04,Railway Engineering Associates,REA Holytown Bellshill,1299,5670.75,
1512-05,Covanburn Contracts,CP5 Stations Stonehaven ,1403,2533.62,2015-12-07
1512-06,George Leslie,Festival Park,1450,780.0,
1512-07,Amco,CP5 UB161/232 Pyetscleauch,1377B,4330.0,
1512-08,Thomas Matonti,Thomas Matonti,1494,144.52,
1512-09,Story Contracting,Story Temp Works ,1428D,4163.75,
1512-10,Nicola Proctor,Nicola Proctor,1494,1050.0,
1512-11,Krish Inc,Krish/Rujula,1494,1050.0,
1512-12,Scot-ion,Scot-ion,1494,350.0,
1512-13,Amco,CP5 Tyndrum,1350D,3396.5,
1512-14,Amco,FB 160/017A Arkleston Drive,1388,16233.65,
1512-15,Amco,Grantshouse Water,1398,8422.5,
1512-16,Amco,CP5 Bridges Beinn Odhar,1350A,625.0,
1512-17,Amco,CP5 Bridges Beinn Gorton,1350B,625.0,
1512-18,Hyder,Mining Treatment,1409,1320.0,2016-01-05
1512-19,Amco,Old Mill Road,1364,-476.0,
1512-20,Amco,Creag a Chaltuinn,1348,7350.0,
1512-21,Amco,Nursery Lane,1344,4350.0,
1601-01,Amco,GP Secondment,1444,3937.5,
1601-02,George Leslie,Festival Park,1450,187.0,2016-01-05
1601-03,Scot-Ion,Scot-ion,1494,1050.0,2016-01-05
1601-04,Carillion,CREDIT NOTE: Cumbernauld Electrification,1274,-320.0,2016-01-11
1601-05,AMCO,Albert Road ,1432,2553.5,2016-01-13
1601-06,AMCO,Croy Viaduct,1381F,837.5,2016-01-13
1601-07,Morgan Sindall,EGIP PAA Bridges,1346,26193.73,2016-01-19
1601-08,AMCO,Inchmagrannachan Embankment,1381M,1865.0,2016-03-28
1601-09,AMCO,Lamington,1460,1324.0,2016-01-27
1601-10,Bam Nuttall,Loch Buidhe,1463,2436.0,2016-01-22
1601-11,Costain,Costain Temporary Works,1443,16250.25,2016-01-20
1601-12,AMCO,CP5 Tyndrum,1350D,550.0,2016-01-20
1601-13,CPMS,Alexandra Parade Station,1411,2051.81,2016-01-22
1601-14,CPMS,Polmont Station,1412,3212.38,2016-01-22
1601-15,CPMS,Hillington West Station,1413,5398.22,2016-01-22
1601-16,AMCO,Gillian Pettigrew Secondment,1444,4200.0,2016-01-29
1601-17,AMCO,UB 161/329 Lairthat,1448,5088.58,2016-01-22
1601-18,Scaftec,"Findlater St., Dublin",1465,400.0,2016-01-22
1601-19,Railway Engineering Associates,REA Holytown Bellshill,1299,267.0,2016-01-22
1601-20,AMCO,CP5 Drumsallie,1350E,500.0,2016-01-25
1601-21,Geo-Rope,Glensanda Transfer Station,1401,4232.5,2016-01-29
1601-22,AMCO,CTC Intersection Guard-Rail,1455,1235.0,2016-02-01
1601-23,Legge Steel,St Cecilia's Hall,1447,3982.5,2016-01-29
1602-01,George Leslie,Rannoch Drive - Crane Pad,1471,700.0,2016-02-08
1602-02,AMCO,Motherwell - Temporary Crash Deck,1381O,849.5,2016-02-12
1602-03,Span Access,BP Mungo Platform,1474,1101.5,2016-02-18
1602-04,Cunninghame Lindsey,"Ashgrove Avenue, Gourock",1461,4625.0,2016-02-19
1602-05,AMCO,UB 240/128 Sandyford,1360B,508.75,2016-02-24
1602-06,AMCO,CP5 UB161/232 Pyetscleauch,1377B,828.25,2016-02-24
1602-07,Scot-Ion,Scot-ion Office 1,1494,1125.0,2016-02-26
1602-08,AMCO,GP Secondment,1444,4200.0,2016-02-26
1602-09,AMCO,CP5 Drumsallie,1350E,2157.5,2016-02-29
1602-10,Costain,Costain Temporary Works,1443,4272.5,2016-03-14
1602-11,AMCO,Gorton Temporary Works,1469,1941.0,2016-02-29
1602-12,AMCO,Tyndrum Temporary Works,1468,2714.5,2016-02-29
1602-13,AMCO,Beinn Odhar Temporary Works,1466,1902.5,2016-02-29
1603-01,AMCO,AMCO handrails 2016-17,1462,2664.5,2016-03-04
1603-02,,not used,,,
1603-03,AMCO,Abhainn Duibhe,1476,272.0,2016-05-20
1603-04,George Leslie,Blawathill Hospital Crane Pad,1475,600.0,2016-03-04
1603-05,Abellio Scotrail Ltd,Eastfield Depot,1491,475.0,2016-03-14
1603-06,Scaftec,Old Tweed Bridge,1489,968.5,2016-03-14
1603-07,F.A.C.E.,Deposit Offices 2 & 3,1494,712.5,2016-03-16
1603-08,Legge Steel,Baxters Place Link Bridge,1479,1068.75,2016-03-18
1603-09,AMCO,UB 240/128 Sandyford,1360B,631.25,2016-03-21
1603-10,AMCO,UB 302/342 Georgemas Bank Creep,1377C,7159.25,2016-03-21
1603-11,CPR - Complete Paving Requirements,Singer Station,1470,3879.88,2016-03-28
1603-12,CPMS,Hillington West Station,1413,4557.16,2016-03-28
1603-13,AMCO,GP Secondment,1444,4725.0,2016-04-05
1604-01,F.A.C.E.,Rent rooms 2 & 3,1494,2137.5,2016-04-01
1604-02,Scot-Ion,Scot-Ion Office 4,1494,1050.0,2016-04-01
1604-03,George Leslie,Festival Park Trench Support,1490,605.0,2016-04-27
1604-04,Taziker Industrial,Findhorn Scaffold Foundations,1493,982.5,2011-04-06
1604-05,AMCO,CP5 UB161/232 Pyetscleauch,1377B,5480.25,2016-04-05
1604-06,AMCO,AMCO Minor Works Stalcair,1381I,4258.5,2016-04-05
1604-07,AMCO,Killiecrankie Emergency Works,1457,3041.0,2016-04-05
1604-08,Morgan Sindall,EGIP Morgan Sindall Application 4,1346,26789.16,2016-04-12
1604-09,Abellio Scotrail Ltd,Scotrail Cycle Innovation Plan,1458,7526.25,2016-04-06
1604-10,Taziker Industrial,Beinn a Chreachain,1464,1909.0,2016-04-06
1604-11,Span Access,BP Mungo Platform,1474,275.0,2016-04-11
1604-12,AMCO,UB 161/329 Lairthat,1448,2366.58,2016-04-15
1604-13,Trident Engineering ,Nigg Bay,1502,500.0,2016-04-19
1604-14,Amco,Auchentorlie Burn,1377E,15136.75,2016-04-19
1604-15,AMCO,St Quivox,1402,989.5,2016-05-10
1604-16,Arcadis,RBS2-81 Crane Foundation Check,1488,1454.75,2016-04-22
1604-17,AMCO,Courthill Den Anchor Design,1478,740.75,2016-04-22
1604-18,AMCO,CP5 WHL Bridges Gorton,1350B,250.0,2016-04-27
1604-19,AMCO,CP5 WHL Bridges Beinn Odhar,1350A,250.0,2016-04-27
1604-20,AMCO,CP5 WHL Bridges Tyndrum,1350D,250.0,2016-04-27
1604-21,AMCO,GP Secondment,1444,4200.0,2016-05-03
1604-22,AMCO,UB161/003 Gorgie Road,1496,1359.13,2016-04-27
1604-23,Story Contracting,Wemyss Bay,1503,1886.0,2016-04-29
1604-24,Tobermory Harbour Association,Tobermory Harbour Retaining wall,1454,1499.0,2016-05-06
1604-25,Bam Nuttall,Knostrop Weir,1505A,925.0,2016-04-29
1604-26,Geo-Rope,Royal Observatory,1504,1250.0,2016-05-03
1605-01,AMCO,T313-077 Leachabhudie,1492A,3396.25,2016-05-03
1605-02,AMCO,T313-102 Lochailort Tunnel,1492B,3396.25,2016-05-03
1605-03,AMCO,T313-107 Polnish Tunnel,1492C,3396.25,2016-05-03
1605-04,AMCO,T313-117 Loch Nan Uamh Tunnel,1492D,3396.25,2016-05-03
1605-05,AMCO,T313-118 Beasdale Tunnel,1492E,3396.25,2016-05-03
1605-06,AMCO,T313-119 Beasdale Tunnel,1492F,3396.25,2016-05-03
1605-07,AMCO,UB 240/159 Station Road,1498,2553.0,2016-05-03
1605-08,AMCO,UB 090/158 Edengrove Road,1497,2033.0,2016-05-03
1605-09,AMCO,CP5 UB161/232 Pyetscleauch,1377B,348.75,2016-05-03
1605-10,AMCO,Saltcoats Temporary works,1421,3567.25,2016-05-11
1605-11,AMCO,Busby Culvert Replacement,1381N,8080.0,2016-05-13
1605-12,George Leslie,Glasgow Harbour Terrace,1499,700.0,2016-05-13
1605-13,Abellio Scotrail Ltd,Scotrail Cycle Innovation Plan,1458,836.25,2016-05-13
1605-14,Covanburn Contracts,Lambhill Cemetery,1451,5541.75,2016-05-18
1605-15,AMCO,Woodlea Lane,1347C,250.0,2016-05-18
1605-16,Taziker Industrial,UB 090/243 Letham Mill,1483,4102.1,2016-05-24
1605-17,Taziker Industrial,UB 310/226 Loch Treig,1473,7101.25,2016-05-24
1605-18,Taziker Industrial,UB 161/137 A758 Ayr Road,1481,2613.54,2016-05-24
1605-19,Taziker Industrial,UB 207/039 Ayr Mauchline,1480,3342.6,2016-05-24
1605-20,Taziker Industrial,UB 236/136 Gavington Street,1484,1922.63,2016-05-24
1605-21,Taziker Industrial,UB 285/145 Muireston Road,1486,1383.53,2016-05-24
1605-22,Taziker Industrial,FB 030/295 Crawford FB,1487,1939.69,2016-05-24
1605-23,Taziker Industrial,UB 162/051 River Ayr Viaduct,1485,1927.7,2016-05-24
1605-24,Bam Nuttall,Dales  Voe,1508,1345.0,2016-04-25
1605-25,AMCO,UB 161/329 Lairthat,1448,591.44,2016-06-01
1605-26,AMCO,UB 302/342 Georgemas Bank Creep,1377C,923.63,2016-06-01
1605-27,Scot-Ion,Scot-Ion Room 1,1494,1125.0,2016-06-01
1605-28,Taziker Industrial,UB 207/039 Ayr Mauchline,1480,2668.83,2016-06-01
1605-29,Taziker Industrial,UB 161/137 A758 Ayr Road,1481,3737.46,2016-06-01
1605-30,Taziker Industrial,FB 030/295 Crawford FB,1487,3074.69,2016-06-01
1605-31,Taziker Industrial,UB 236/136 Gavington Street,1484,1998.25,2016-06-01
1605-32,Taziker Industrial,UB 090/243 Letham Mill,1483,1369.61,2016-06-01
1605-33,Taziker Industrial,UB 310/226 Loch Treig,1473,677.2,2016-06-01
1605-34,Taziker Industrial,UB 285/145 Muireston Road,1486,1925.58,2016-06-01
1605-35,AMCO,CP5 Drumsallie,1350E,250.0,2016-06-01
1606-01,AMCO,GP Secondment,1444,5250.0,2016-06-06
1606-02,AMCO,FB 090/209 Monifieth,1495,1442.43,2016-06-06
1606-03,AMCO,UB 090/158 Edengrove Road,1497,3214.53,2016-06-06
1606-04,AMCO,Creag a Chaltuinn Wall Stabilisation,1348,650.0,2016-06-07
1606-05,AMCO,CREDIT NOTE Creag a Chaltuinn Wall Stabilisation,1348,0.0,2006-06-08
1606-06,George Leslie,Seedhill CSO,1511,7693.25,2016-06-13
1606-07,AMCO,CREDIT NOTE Ladywell,1347A,-1664.0,2016-06-10
1606-08,AMCO,CREDIT NOTE Cardross Road,1426,-424.25,2016-06-10
1606-09,Story Contracting,Blairhill Station Crane Outrigger,1428D,1738.5,2016-06-15
1606-10,Bam Nuttall,Springburn Station ,1518,1223.0,2016-06-15
1606-11,Story Contracting,Blairhill Station ,1428D,1359.5,2016-06-15
1606-12,AMCO,Falkirk Retaining Wall,1381T,154.0,2016-06-16
1606-13,Bam Nuttall,Greenfaulds & Cumbernauld Hoarding,1500,1350.5,2016-06-16
1606-14,Span Access,BP Mungo Platform,1474,375.0,2016-06-17
1606-15,AMCO,Dumbarton East Pilaster Lifting Check,1381P,1054.5,2016-06-17
1606-16,AMCO,River Garry Gabion Wall Remediation Works ,1381L,6965.75,2016-06-17
1606-17,AMCO,Easter Ballomill Road Temporary Works,1459,1229.75,2016-06-17
1606-18,Albion Drilling,A93 Structure Soil Nailing,1506,6947.25,2016-06-20
1606-19,AMCO,UB 162/264 Cample Viaduct,1513,1060.5,2016-06-20
1606-20,Taziker Industrial,Dunninald and Montrose Temp Works,1520,650.0,2016-06-20
1606-21,Costain,Costain Temporary Works,1443,16471.26,2016-06-27
